Reference, Quantity, Value, Footprint, Datasheet, LCSC
C12 ,1,"1uF/10V","tec-1:C_0805_2012Metric","~"
C1 C2 C3 C4 C5 C6 C7 C9 C10 C11 C13 C14 C15 C16 C17 C18 C19 C20 C21 C22 ,20,"0.1uF/10V","tec-1:C_0805_2012Metric","~"
C8 ,1,"100uF/10V","tec-1:CP_EIA-7343-31_Kemet-D","~"
D1 D3 ,2,"LED","tec-1:LED_0805_2012Metric","~"
D2 ,1,"LED_MATRIX_RG_CA","tec-1:GYXM-1588AURG",""
FB1 ,1,"Ferrite_Bead_Small","tec-1:L_0805_2012Metric","~"
J1 ,1,"USB_C_Receptacle_USB2.0","tec-1:USB_C_Receptacle_GT-USB-7010","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
J2 ,1,"Conn_01x02","tec-1:JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal","~"
J3 ,1,"LCD","tec-1:PinHeader_1x16_P2.54mm_Horizontal","~"
J4 ,1,"ADDR","tec-1:PinHeader_1x17_P2.54mm_Vertical","~"
J5 ,1,"DATA","tec-1:PinHeader_1x09_P2.54mm_Vertical","~"
J6 ,1,"Conn_01x02","tec-1:PinHeader_1x02_P2.54mm_Vertical","~"
J7 ,1,"CTRL","tec-1:PinHeader_1x09_P2.54mm_Vertical","~"
Q1 ,1,"BC847","tec-1:SOT-23","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657"
Q2 Q3 Q4 Q5 Q6 Q7 Q8 Q9 Q10 Q11 Q12 Q13 Q14 Q15 Q16 Q17 Q18 Q19 Q20 Q21 Q22 Q23 ,22,"AO3400A","tec-1:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3400A.pdf"
R13 ,1,"100k","tec-1:R_0805_2012Metric","~"
R14 R15 ,2,"5.1k","tec-1:R_0805_2012Metric","~"
R17 R18 R48 ,3,"1k","tec-1:R_0805_2012Metric","~"
R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R42 R44 R45 R46 R47 ,17,"10k","tec-1:R_0805_2012Metric","~"
R16 R19 R20 R21 R22 R23 R24 R25 R26 R27 R28 R29 R30 R31 R32 R33 R34 R35 R36 R37 R38 R39 R40 R41 ,24,"100R","tec-1:R_0805_2012Metric","~"
R43 ,1,"DNP","tec-1:R_0805_2012Metric","~"
RV1 ,1,"20k","tec-1:Potentiometer_Bourns_TC33X_Vertical","~"
SW1 SW24 ,2,"SW_DIP_x04","tec-1:DIP-8_W7.62mm_LongPads","~"
SW10 ,1,"SW_0","tec-1:SW_12x12_SMD","~"
SW11 ,1,"SW_7","tec-1:SW_12x12_SMD","~"
SW12 ,1,"SW_6","tec-1:SW_12x12_SMD","~"
SW13 ,1,"SW_5","tec-1:SW_12x12_SMD","~"
SW14 ,1,"SW_4","tec-1:SW_12x12_SMD","~"
SW15 ,1,"SW_B","tec-1:SW_12x12_SMD","~"
SW16 ,1,"SW_A","tec-1:SW_12x12_SMD","~"
SW17 ,1,"SW_9","tec-1:SW_12x12_SMD","~"
SW18 ,1,"SW_8","tec-1:SW_12x12_SMD","~"
SW19 ,1,"SW_F","tec-1:SW_12x12_SMD","~"
SW20 ,1,"SW_E","tec-1:SW_12x12_SMD","~"
SW21 ,1,"SW_D","tec-1:SW_12x12_SMD","~"
SW22 ,1,"SW_C","tec-1:SW_12x12_SMD","~"
SW2 SW23 ,2,"SW_SPST","tec-1:SW_12x12_SMD","~"
SW3 ,1,"SW_AD","tec-1:SW_12x12_SMD","~"
SW4 ,1,"SW_GO","tec-1:SW_12x12_SMD","~"
SW5 ,1,"SW_MINUS","tec-1:SW_12x12_SMD","~"
SW6 ,1,"SW_PLUS","tec-1:SW_12x12_SMD","~"
SW7 ,1,"SW_3","tec-1:SW_12x12_SMD","~"
SW8 ,1,"SW_2","tec-1:SW_12x12_SMD","~"
SW9 ,1,"SW_1","tec-1:SW_12x12_SMD","~"
TP1 TP2 TP3 TP5 TP13 TP16 TP18 TP22 TP24 TP25 TP27 TP28 TP29 TP30 TP31 ,15,"TestPoint","tec-1:TestPoint_Pad_D2.0mm","~"
U1 ,1,"IO","tec-1:PLCC-28_SMD-Socket",""
U12 ,1,"LED_SEGMENT_CC_x2","tec-1:D5621A-LEDx2","http://www.kingbrightusa.com/images/catalog/SPEC/CA56-12EWA.pdf"
U13 ,1,"LED_SEGMENT_CC_x4","tec-1:D5641A-LEDx4","http://www.kingbrightusa.com/images/catalog/SPEC/CA56-12EWA.pdf"
U10 U11 U14 U15 U16 ,5,"74HCT574","tec-1:SOIC-20W_7.5x12.8mm_P1.27mm","http://www.ti.com/lit/gpn/sn74LS574"
U17 ,1,"MISC","tec-1:PLCC-28_SMD-Socket",""
